City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,wickenburg,33.9686,-112.7296,24.69,15,0,2.24,US,1715142120
1,udachny,66.4167,112.4,-0.31,98,100,10.13,RU,1715142203
2,iqaluit,63.7506,-68.5145,-6.15,86,20,6.69,CA,1715142203
3,petrovsk,52.3064,45.3917,4.52,76,100,7.99,RU,1715142203
4,belmonte,-15.8631,-38.8828,25.05,82,22,2.68,BR,1715142203
5,kismayo,-0.3582,42.5454,26.23,86,100,4.5,SO,1715142203
6,masuguru,-11.3667,38.4167,20.25,97,7,1.15,TZ,1715142204
7,port-aux-francais,-49.35,70.2167,4.9,78,54,13.43,TF,1715142204
8,invercargill,-46.4,168.35,8.34,73,99,5.81,NZ,1715142088
9,hawaiian paradise park,19.5933,-154.9731,23.26,86,100,3.09,US,1715142204
10,college,64.8569,-147.8028,11.99,50,75,0.0,US,1715142204
11,saugor,23.8333,78.7167,34.72,28,2,7.93,IN,1715142205
12,whitehorse,60.7161,-135.0538,6.43,47,75,5.14,CA,1715142205
13,keflavik,64.0049,-22.5624,3.95,87,40,3.09,IS,1715142205
14,longyearbyen,78.2186,15.6401,1.91,69,75,8.23,SJ,1715142205
15,hadibu,12.65,54.0333,28.92,74,6,1.11,YE,1715142205
16,meizhou,24.2977,116.1072,24.7,80,100,1.07,CN,1715142205
17,fort mcmurray,56.7268,-111.381,9.77,93,100,3.09,CA,1715142206
18,olonkinbyen,70.9221,-8.7187,0.35,95,100,9.2,SJ,1715142206
19,pacific grove,36.6177,-121.9166,14.66,77,0,3.13,US,1715142206
20,chernyshevskiy,63.0128,112.4714,-0.28,78,100,5.69,RU,1715142206
21,karratha,-20.7377,116.8463,30.2,43,5,6.43,AU,1715142121
22,adamstown,-25.066,-130.1015,21.94,79,92,4.62,PN,1715142207
23,itaituba,-4.2761,-55.9836,23.85,99,93,0.44,BR,1715142207
24,blackmans bay,-43.0167,147.3167,12.07,92,100,2.34,AU,1715142207
25,zarghun shahr,32.8473,68.4457,19.02,34,50,1.19,AF,1715142207
26,grytviken,-54.2811,-36.5092,-1.55,79,48,3.54,GS,1715142207
27,tiksi,71.6872,128.8694,-0.28,94,100,4.49,RU,1715142208
28,culiacan,24.7994,-107.3897,23.82,53,100,2.06,MX,1715141974
29,avarua,-21.2078,-159.775,28.03,89,100,4.12,CK,1715142208
30,aasiaat,68.7098,-52.8699,-4.72,96,100,4.35,GL,1715142208
31,launceston,-41.45,147.1667,17.41,67,100,5.66,AU,1715142208
32,lebu,-37.6167,-73.65,7.17,80,5,2.67,CL,1715142208
33,isafjordur,66.0755,-23.124,0.23,88,89,3.42,IS,1715142209
34,at taj,24.2049,23.2857,19.39,25,54,3.86,LY,1715142209
35,bredasdorp,-34.5322,20.0403,12.99,91,4,1.54,ZA,1715142209
36,twon-brass,4.3151,6.2418,27.76,80,100,2.26,NG,1715142209
37,santa sylvina,-27.8326,-61.1375,22.25,93,100,3.39,AR,1715142210
38,port-vila,-17.7338,168.3219,26.78,65,40,5.14,VU,1715142209
39,lucapa,-8.4192,20.7447,20.93,64,67,1.65,AO,1715142210
40,sitka,57.0531,-135.33,7.94,71,100,9.26,US,1715142210
41,anadyr,64.75,177.4833,-6.72,67,40,3.0,RU,1715142210
42,stanley,54.868,-1.6985,8.62,95,75,1.03,GB,1715142211
43,kapa'a,22.0752,-159.319,26.99,77,75,5.66,US,1715142211
44,edinburgh of the seven seas,-37.0676,-12.3116,16.74,92,100,18.82,SH,1715142211
45,ironwood,46.4547,-90.171,10.45,100,100,0.0,US,1715142211
46,fortuna,40.5982,-124.1573,11.48,87,0,4.63,US,1715142211
47,puerto natales,-51.7236,-72.4875,-0.14,84,100,0.68,CL,1715142212
48,west island,-12.1568,96.8225,28.99,74,40,8.75,CC,1715142212
49,san luis de la loma,17.2706,-100.8939,25.85,66,31,3.14,MX,1715142212
50,jamestown,42.097,-79.2353,17.23,81,40,3.09,US,1715141959
51,port elizabeth,-33.918,25.5701,18.94,87,0,7.2,ZA,1715142213
52,kingston,17.997,-76.7936,28.53,84,40,2.57,JM,1715142140
53,ilulissat,69.2167,-51.1,-4.99,86,100,3.6,GL,1715142213
54,mugia,43.1041,-9.2179,11.06,74,100,4.26,ES,1715142213
55,covington,39.0837,-84.5086,20.62,95,100,4.12,US,1715142213
56,ad dilam,23.9915,47.1627,26.23,46,0,4.98,SA,1715142213
57,nova sintra,14.8667,-24.7167,23.88,72,1,7.07,CV,1715142214
58,ushuaia,-54.8,-68.3,-0.19,86,0,2.57,AR,1715142214
59,moyale,3.5167,39.0584,19.59,94,73,2.48,KE,1715142214
60,sinop,41.7711,34.8709,3.24,64,0,2.6,TR,1715142214
61,puerto ayora,-0.7393,-90.3518,23.64,99,98,0.45,EC,1715142214
62,fort st. john,56.2499,-120.8529,9.94,25,20,7.2,CA,1715142159
63,marbletown,41.8834,-74.1132,15.56,69,98,1.21,US,1715142215
64,kidal,18.4411,1.4078,30.75,10,86,3.91,ML,1715142215
65,ribeira grande,38.5167,-28.7,15.99,94,38,2.24,PT,1715142215
66,fisterra,42.9049,-9.2629,10.97,75,100,3.03,ES,1715142215
67,albany,42.6001,-73.9662,14.89,63,100,1.39,US,1715141977
68,tamanrasset,22.785,5.5228,21.95,12,93,0.0,DZ,1715142216
69,suva,-18.1416,178.4415,26.71,69,40,3.6,FJ,1715142209
70,thunder bay,48.4001,-89.3168,10.99,57,100,3.6,CA,1715142216
71,dunda,-8.1167,34.25,15.6,94,100,0.57,TZ,1715142216
72,ust-nera,64.5667,143.2,3.42,91,100,2.73,RU,1715142216
73,fort bragg,35.139,-79.006,24.91,85,0,2.06,US,1715142169
74,maisi,43.0395,41.2621,8.05,97,100,0.5,GE,1715142217
75,cabo san lucas,22.8909,-109.9124,24.78,37,100,3.13,MX,1715141497
76,bethel,41.3712,-73.414,16.46,68,0,0.0,US,1715142217
77,piskivka,50.6938,29.6193,5.37,77,4,2.13,UA,1715142217
78,talnakh,69.4865,88.3972,-7.11,85,42,2.25,RU,1715142218
79,caxito,-8.5785,13.6643,22.39,98,47,0.88,AO,1715142218
80,uchiza,-8.4592,-76.4633,21.78,90,100,0.99,PE,1715142218
81,margaret river,-33.95,115.0667,22.94,40,75,3.91,AU,1715142218
82,labuan,5.2767,115.2417,30.2,79,20,2.57,MY,1715142219
83,utrik,11.2278,169.8474,27.35,81,13,9.11,MH,1715142219
84,mpulungu,-8.7623,31.1141,21.54,74,99,2.72,ZM,1715142219
85,yeppoon,-23.1333,150.7333,26.25,76,25,9.83,AU,1715142219
86,polyarnyy,69.1989,33.4478,-1.25,77,100,5.26,RU,1715142220
87,lamu,-2.2717,40.902,26.0,88,94,6.0,KE,1715142220
88,usinsk,65.9939,57.5281,-4.4,90,93,6.26,RU,1715142220
89,trujillo,-8.116,-79.03,16.98,94,100,2.57,PE,1715142221
90,zaragoza,41.6561,-0.8773,11.56,66,0,6.17,ES,1715142221
91,port alfred,-33.5906,26.891,17.88,95,99,2.24,ZA,1715142221
92,hamilton,39.1834,-84.5333,20.35,95,100,4.12,US,1715142221
93,vanino,49.0869,140.2543,9.4,60,4,3.01,RU,1715142221
94,arvayheer,46.2639,102.775,10.88,43,98,4.77,MN,1715142222
95,east london,-33.0153,27.9116,20.52,88,100,6.69,ZA,1715142222
96,mount gambier,-37.8333,140.7667,18.29,47,0,2.7,AU,1715142222
97,howard springs,-12.497,131.047,32.21,58,32,2.79,AU,1715142222
98,kourou,5.1552,-52.6478,26.03,90,99,2.88,GF,1715142223
99,sandnessjoen,66.0217,12.6316,7.06,70,75,4.12,NO,1715142223
100,waitangi,-43.9535,-176.5597,9.9,76,19,0.89,NZ,1715142223
101,akonolinga,3.7667,12.25,21.41,99,100,0.68,CM,1715142223
102,angarsk,52.5367,103.8864,16.4,29,8,5.59,RU,1715142224
103,arkhangel'sk,64.5401,40.5433,-3.82,74,75,4.0,RU,1715142224
104,grand falls-windsor,48.9332,-55.6649,6.39,92,100,1.6,CA,1715142224
105,atafu village,-8.5421,-172.5159,28.99,76,99,3.14,TK,1715142224
106,hermanus,-34.4187,19.2345,14.49,87,0,2.16,ZA,1715142224
107,altamira,-3.2033,-52.2064,23.04,94,88,0.06,BR,1715142225
